,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kapaa,22.08,-159.32,78.8,78,40,9.17,US,1591037288
1,Qaanaaq,77.48,-69.36,30.81,93,89,2.86,GL,1591037288
2,Esperance,-33.87,121.9,55.17,86,94,6.17,AU,1591037288
3,Port Hawkesbury,45.62,-61.35,50.0,76,90,6.93,CA,1591037288
4,Korla,41.76,86.15,76.98,18,0,1.14,CN,1591037288
5,Homer,59.64,-151.55,51.8,66,75,9.17,US,1591037288
6,Norman Wells,65.28,-126.83,48.2,93,90,9.17,CA,1591037289
7,Puerto El Triunfo,13.28,-88.55,78.8,94,75,6.93,SV,1591037289
8,Tasiilaq,65.61,-37.64,42.8,81,0,9.17,GL,1591037289
9,Half Moon Bay,37.46,-122.43,73.0,63,20,9.17,US,1591037289
10,Buala,-8.14,159.59,81.32,77,3,5.57,SB,1591037289
11,Dikson,73.51,80.55,32.36,97,100,9.13,RU,1591037289
12,Maba,24.68,113.6,75.34,93,100,2.17,CN,1591037289
13,Katsuura,35.13,140.3,68.0,95,30,5.99,JP,1591037289
14,Torbay,47.67,-52.73,64.99,77,90,28.86,CA,1591037289
15,Kedrovyy,56.17,91.82,39.2,100,99,2.73,RU,1591037289
16,Lebu,-37.62,-73.65,54.03,69,98,3.69,CL,1591037290
17,Santa María del Oro,25.93,-105.37,82.36,18,0,3.8,MX,1591037290
18,Ushuaia,-54.8,-68.3,42.8,81,75,25.28,AR,1591037290
19,Cape Town,-33.93,18.42,59.0,93,100,1.12,ZA,1591037125
20,Hermanus,-34.42,19.23,53.01,95,79,4.94,ZA,1591037290
21,Busselton,-33.65,115.33,46.99,72,100,8.08,AU,1591037006
22,Yellowknife,62.46,-114.35,35.6,93,90,14.99,CA,1591037290
23,Rikitea,-23.12,-134.97,75.74,77,92,1.66,PF,1591037290
24,Streator,41.12,-88.84,70.0,46,90,11.41,US,1591037291
25,Nanortalik,60.14,-45.24,43.2,85,80,12.75,GL,1591037291
26,Albany,42.6,-73.97,66.99,27,3,1.99,US,1591037291
27,Nikolskoye,59.7,30.79,52.0,73,0,6.71,RU,1591037291
28,Zhigansk,66.77,123.37,45.25,91,99,7.11,RU,1591037291
29,Gremyachinsk,58.56,57.85,39.99,88,100,5.19,RU,1591037291
30,Vila Velha,-20.33,-40.29,78.8,69,61,11.41,BR,1591037291
31,Tuktoyaktuk,69.45,-133.04,30.2,80,75,12.75,CA,1591037291
32,Cidreira,-30.18,-50.21,58.01,61,0,13.42,BR,1591037291
33,Coquimbo,-29.95,-71.34,57.2,87,75,9.17,CL,1591037292
34,Saint Paul Harbor,57.79,-152.41,48.2,87,90,11.41,US,1591037292
35,Maryville,35.76,-83.97,82.0,29,20,4.25,US,1591037292
36,Pacific Grove,36.62,-121.92,60.8,77,90,9.17,US,1591037292
37,Atuona,-9.8,-139.03,80.56,73,0,15.19,PF,1591037292
38,St. George's,12.06,-61.75,82.11,69,5,11.54,GD,1591037051
39,Antofagasta,-23.65,-70.4,62.6,82,75,17.22,CL,1591037292
40,Pingliang,35.54,106.69,60.37,26,100,3.94,CN,1591037292
41,Longyearbyen,78.22,15.64,37.4,93,75,8.05,SJ,1591037292
42,Khovd,48.01,91.64,63.1,36,38,3.4,MN,1591037293
43,San Patricio,19.22,-104.7,82.4,83,5,11.41,MX,1591037293
44,Port Elizabeth,-33.92,25.57,62.6,100,67,8.05,ZA,1591037293
45,Barrow,71.29,-156.79,33.8,86,90,23.04,US,1591037101
46,Wattegama,6.8,81.48,78.8,100,20,5.82,LK,1591037293
47,Mount Isa,-20.73,139.5,57.2,39,0,8.05,AU,1591037293
48,Punta Arenas,-53.15,-70.92,46.4,87,75,24.16,CL,1591037190
49,Magadan,59.57,150.8,38.73,87,84,2.28,RU,1591037293
50,Boulsa,12.67,-0.58,100.04,26,43,3.2,BF,1591037294
51,North Bend,43.41,-124.22,62.01,63,1,14.99,US,1591037026
52,Puerto Ayora,-0.74,-90.35,80.6,69,40,16.11,EC,1591037294
53,Airai,-8.93,125.41,56.46,94,0,4.07,TL,1591037294
54,East London,-33.02,27.91,66.94,74,72,3.51,ZA,1591037294
55,Kiama,-34.68,150.87,52.0,74,44,10.0,AU,1591037294
56,Vangaindrano,-23.35,47.6,67.96,84,93,4.81,MG,1591037294
57,Yar-Sale,66.83,70.83,35.06,93,100,15.43,RU,1591037294
58,Saint-Philippe,-21.36,55.77,71.6,78,88,11.41,RE,1591037295
59,Bluff,-46.6,168.33,48.94,76,100,15.26,NZ,1591037295
60,São Francisco,-15.95,-44.86,80.08,44,0,0.76,BR,1591037215
61,Ardee,53.86,-6.54,68.0,39,68,6.93,IE,1591037295
62,Asău,46.43,26.4,57.2,67,40,13.87,RO,1591037295
63,São José da Coroa Grande,-8.9,-35.15,80.76,77,56,5.1,BR,1591037295
64,Hobart,-42.88,147.33,48.0,65,26,11.41,AU,1591037295
65,Humaitá,-7.51,-63.02,87.73,60,15,3.56,BR,1591037295
66,Mataura,-46.19,168.86,40.01,77,94,4.0,NZ,1591037296
67,Inhambane,-23.86,35.38,66.2,82,20,3.36,MZ,1591037296
68,Eureka,40.8,-124.16,66.0,54,2,1.99,US,1591037110
69,Iqaluit,63.75,-68.51,33.8,86,90,6.93,CA,1591037291
70,Vaini,-21.2,-175.2,77.0,94,75,5.82,TO,1591037296
71,Chui,-33.7,-53.46,53.49,83,100,12.37,UY,1591037296
72,Bambous Virieux,-20.34,57.76,73.4,78,40,11.41,MU,1591037296
73,Chokurdakh,70.63,147.92,47.25,55,91,14.32,RU,1591037296
74,Ribeira Grande,38.52,-28.7,64.4,59,20,18.34,PT,1591037296
75,Lac du Bonnet,50.25,-96.06,74.55,70,100,10.78,CA,1591037296
76,Preobrazheniye,42.9,133.91,52.07,87,0,8.32,RU,1591037297
77,Nālūt,30.33,10.85,85.68,25,75,28.05,LY,1591037297
78,Sibut,5.72,19.07,75.56,89,100,3.04,CF,1591037297
79,Yataity,-26.37,-56.07,55.71,68,50,5.53,PY,1591037297
80,Belmonte,-15.86,-38.88,78.8,65,40,6.93,BR,1591037297
81,Thompson,55.74,-97.86,44.6,100,90,8.05,CA,1591037297
82,Bengkulu,-3.8,102.27,77.2,87,100,5.61,ID,1591037246
83,Nyrob,60.73,56.72,44.28,91,99,4.16,RU,1591037297
84,Hithadhoo,-0.6,73.08,85.26,67,87,7.87,MV,1591037297
85,Lavrentiya,65.58,-171.0,45.14,60,0,1.34,RU,1591037297
86,Sitka,57.05,-135.33,48.2,81,90,8.05,US,1591037298
87,Esmeraldas,-19.76,-44.31,75.2,41,0,5.82,BR,1591037298
88,Poum,-20.23,164.02,75.36,84,24,9.82,NC,1591037298
89,Port Alfred,-33.59,26.89,62.01,95,1,1.01,ZA,1591037298
90,Jamestown,42.1,-79.24,66.0,38,1,16.11,US,1591037191
91,Mulegé,26.88,-111.98,89.37,43,0,12.33,MX,1591037298
92,Lower Burrell,40.55,-79.76,72.0,39,100,5.99,US,1591037298
93,Yablonovo,50.85,37.36,53.6,100,97,8.95,RU,1591037298
94,Santa Cruz de la Sierra,-17.8,-63.17,64.42,48,80,9.71,BO,1591037137
95,Saint-Augustin,51.23,-58.65,46.22,92,100,8.25,CA,1591037299
96,Verkhnevilyuysk,63.45,120.32,45.09,59,44,2.62,RU,1591037299
97,Mujiayingzi,42.12,118.78,59.29,60,100,5.91,CN,1591037299
98,San Andrés,12.58,-81.7,84.2,83,75,9.17,CO,1591037299
99,Qinhuangdao,39.93,119.59,62.78,85,100,2.86,CN,1591037067
100,Sann,26.04,68.14,91.4,63,0,11.41,PK,1591037299
101,Pundaguitan,6.37,126.17,83.1,74,100,7.61,PH,1591037299
102,Bose,45.46,8.01,72.0,69,100,1.99,IT,1591037300
103,Cabedelo,-6.98,-34.83,86.0,66,20,8.05,BR,1591037300
104,Paamiut,61.99,-49.67,41.29,88,100,24.92,GL,1591037065
105,Manokwari,-0.87,134.08,79.83,78,3,3.38,ID,1591037300
106,Arraial do Cabo,-22.97,-42.03,86.0,37,0,3.36,BR,1591037300
107,Constitución,-35.33,-72.42,57.9,55,100,5.39,CL,1591037300
108,Evensk,61.95,159.23,38.55,87,64,1.5,RU,1591037300
109,Mar del Plata,-38.0,-57.56,55.0,62,40,9.17,AR,1591037199
110,Changping,40.22,116.22,73.0,82,0,2.24,CN,1591037300
111,Tecolutla,20.48,-97.02,86.0,66,75,8.05,MX,1591037301
112,Avera,33.19,-82.53,82.4,44,1,8.59,US,1591037301
113,Changli,39.7,119.15,63.64,85,100,1.68,CN,1591037301
114,Ribeirópolis,-10.54,-37.42,82.4,74,75,10.29,BR,1591037301
115,Beringovskiy,63.05,179.32,43.0,65,85,12.46,RU,1591037301
116,New Norfolk,-42.78,147.06,48.0,68,36,1.99,AU,1591037301
117,Chastyye,57.29,54.97,45.27,88,90,4.5,RU,1591037301
118,Kiunga,-6.12,141.29,73.08,99,100,1.61,PG,1591037301
119,Butaritari,3.07,172.79,82.8,78,31,10.16,KI,1591037302
120,Klimovo,52.38,32.19,47.48,94,100,8.79,RU,1591037302
121,Doba,8.65,16.85,86.88,45,43,7.45,TD,1591037302
122,Saint-Pierre,-21.34,55.48,71.6,78,13,11.41,RE,1591037302
123,Erzin,36.96,36.2,69.01,72,100,2.64,TR,1591037302
124,Khāsh,28.22,61.22,78.31,17,0,3.62,IR,1591037302
125,San Sebastián Etla,17.06,-96.79,78.8,39,75,3.36,MX,1591037302
126,Ponta do Sol,32.67,-17.1,69.8,73,40,20.8,PT,1591037302
127,Khatanga,71.97,102.5,41.02,76,0,14.25,RU,1591037302
128,São João da Barra,-21.64,-41.05,82.4,42,4,9.17,BR,1591037303
